iter	RMSE
0	1594538.141
1	1536329.927
2	1480875.207
3	1427444.906
4	1376684.634
5	1329334.806
6	1284424.088
7	1242355.316
8	1200996.843
9	1162712.738
10	1125984.223
11	1092305.184
12	1059693.421
13	1029394.417
14	1000722.793
15	972809.2877
16	947177.7648
17	922228.9118
18	899123.1656
19	876788.8221
20	856365.2953
21	836374.6267
22	817978.2064
23	800663.6609
24	784551.0609
25	769679.681
26	754628.9626
27	741017.0357
28	728484.1008
29	716576.278
30	704935.33
31	694353.5846
32	684026.2287
33	674069.4159
34	664907.4071
35	657002.1053
36	648476.8565
37	640885.2169
38	633883.7911
39	627557.2691
40	621192.9189
41	615084.0329
42	610035.255
43	605039.5966
44	599256.6553
45	594602.3023
46	590166.1741
47	585256.2725
48	580874.229
49	576509.2859
50	572150.0834
51	568505.2026
52	564979.646
53	560876.7299
54	557300.0016
55	553841.9598
56	550604.015
57	547784.2456
58	545185.5121
59	542655.1372
60	539446.48
61	537217.2503
62	534512.4458
63	531748.3438
64	529124.9643
65	526841.1738
66	524445.9504
67	522354.3555
68	520740.6256
69	518948.9717
70	517093.1429
71	515160.2894
72	513113.0067
73	511486.5116
74	510190.9653
75	508441.6496
76	506940.8668
77	505541.8134
78	503818.3882
79	502458.4827
80	501213.93
81	500031.496
82	498111.8954
83	497115.1706
84	495866.1688
85	494811.1639
86	493805.8363
87	492460.6571
88	490825.8892
89	489730.156
90	488405.1847
91	487598.9164
92	486688.4971
93	485328.7477
94	484302.962
95	483270.0981
96	482087.8485
97	481157.5971
98	480477.1654
99	479406.7272
100	478517.7926
101	477398.2494
102	476559.6722
103	475449.0452
104	474098.6542
105	472854.2974
106	472053.3483
107	471027.2942
108	470374.2459
109	469857.0123
110	469300.651
111	468359.7768
112	467944.7923
113	467070.9985
114	466370.4966
115	465436.9843
116	464438.3902
117	463934.4527
118	463482.5429
119	462675.2472
120	461920.4952
121	461206.9036
122	460981.7316
123	460489.9509
124	459940.0819
125	459258.0734
126	458522.5644
127	458465.8846
128	458068.9027
129	457650.0438
130	456926.2887
131	455980.2775
132	455398.3172
133	454701.9601
134	454177.6182
135	453735.0977
136	453431.9788
137	453060.1806
138	452115.8924
139	451651.2439
140	451266.8705
141	450529.9471
142	450477.1159
143	450433.2421
144	449926.1853
145	449278.9484
146	448636.945
147	448145.1564
148	447721.54
149	447329.1825
150	447281.1806
151	447085.0706
152	446946.531
153	446101.532
154	445706.6174
155	445281.7314
156	444943.5736
157	444422.6046
158	444374.4051
159	444189.6487
160	443838.4442
161	443216.1268
162	442776.0745
163	442281.0544
164	442120.4294
165	441383.4887
166	441025.6174
167	440861.8061
168	440049.2043
169	439523.2538
170	439155.8121
171	438722.5195
172	438113.7332
173	437522.2279
174	437052.448
175	436677.9043
176	435669.4814
177	435497.8615
178	434878.6234
179	434527.6261
180	434140.314
181	433624.7645
182	433036.7712
183	432619.3919
184	432444.1229
185	431931.3832
186	431609.4204
187	431138.1485
188	430665.1614
189	430146.819
190	429517.804
191	428976.6366
192	428531.6562
193	428187.3287
194	427557.2883
195	427092.0493
196	426645.0845
197	426603.7845
198	425960.274
199	425472.7675
200	424936.2308
201	424373.4033
202	424033.108
203	423516.1638
204	422877.0964
205	422451.5118
206	422001.4217
207	421435.0638
208	421145.4232
209	420695.4869
210	420288.4081
211	419870.6312
212	419483.17
213	419024.4412
214	418802.0265
215	418451.3546
216	417906.8017
217	417732.7108
218	417527.0854
219	417283.8417
220	416953.2157
221	416526.5329
222	416170.6439
223	415558.303
224	415002.5879
225	414728.9309
226	414051.3779
227	413624.1385
228	413207.0841
229	412722.9075
230	412580.9032
231	412317.5693
232	411947.3746
233	411602.066
234	411132.3066
235	410972.2948
236	410728.1994
237	410452.0978
238	410085.0894
239	409774.2574
240	409546.1494
241	409181.3329
242	408741.4588
243	408248.5512
244	407891.5863
245	407627.4777
246	407183.652
247	406682.0152
248	406192.8251
249	405899.9727
250	405498.2982
251	405180.9171
252	404766.0324
253	404334.5768
254	404118.3114
255	403713.3652
256	403419.7704
257	402998.4144
258	402550.8692
259	402205.9535
260	401982.8452
261	401640.9759
262	401316.7861
263	400736.8152
264	400477.4151
265	400282.8071
266	399860.4002
267	399532.8137
268	399271.5471
269	398931.8731
270	398490.9017
271	398280.4189
272	398006.0172
273	397849.6431
274	397445.2786
275	397266.0065
276	396848.3777
277	396529.9329
278	396404.1116
279	396096.655
280	395826.5029
281	395427.562
282	395023.6453
283	394812.4345
284	394405.7117
285	394171.6762
286	393805.7085
287	393404.7216
288	392974.0084
289	392533.0529
290	392195.3943
291	391849.1042
292	391813.4687
293	391529.8504
294	391495.9561
295	391081.9723
296	390695.228
297	390337.0281
298	390064.056
299	389796.4863
300	389564.5466
301	389289.2258
302	389057.7641
303	388919.1948
304	388870.4287
305	388606.4952
306	388562.0933
307	388219.7066
308	387954.6447
309	387460.3758
310	387431.2582
311	387149.375
312	387069.5408
313	386758.8095
314	386659.053
315	386384.2186
316	386342.8418
317	386165.0045
318	386124.8567
319	385850.363
320	385555.3183
321	385394.1448
322	385204.2767
323	384973.3132
324	384631.5639
325	384420.455
326	384130.0661
327	383895.2328
328	383603.2457
329	383365.3017
330	382909.7806
331	382724.9857
332	382521.1841
333	382322.424
334	382041.7665
335	381805.9922
336	381622.1714
337	381332.3028
338	381065.9017
339	380882.7551
340	380575.1313
341	380264.5755
342	379896.9424
343	379676.7108
344	379349.5172
345	378976.7307
346	378744.9374
347	378417.926
348	378184.1748
349	377792.6417
350	377531.9898
351	377237.2778
352	376958.8542
353	376562.2942
354	376205.5998
355	375954.3435
356	375671.5356
357	375437.1964
358	375281.5671
359	375022.2885
360	374782.5158
361	374645.0613
362	374473.8079
363	374234.6977
364	374041.0302
365	373789.3947
366	373497.7235
367	373193.4505
368	372811.9843
369	372626.6877
370	372442.6875
371	372129.3513
372	371952.3878
373	371635.879
374	371346.583
375	371092.8689
376	370914.9082
377	370590.4907
378	370255.9868
379	370060.9957
380	369741.1578
381	369623.6354
382	369382.4051
383	369210.3023
384	368987.458
385	368854.0338
386	368569.2332
387	368266.9591
388	368188.6742
389	367957.5138
390	367741.2206
391	367566.4726
392	367332.736
393	367172.592
394	366964.5616
395	366753.0616
396	366456.7251
397	366243.1659
398	365984.5465
399	365735.574
400	365517.5927
401	365212.9385
402	364959.6311
403	364757.2826
404	364503.3084
405	364305.5889
406	364109.7725
407	363981.9656
408	363878.4449
409	363561.1731
410	363400.7576
411	363214.4753
412	362988.876
413	362730.4895
414	362421.9709
415	362111.7357
416	361946.2893
417	361699.6469
418	361554.912
419	361284.6546
420	361018.2802
421	360804.0764
422	360597.5002
423	360419.5282
424	360290.3661
425	359960.8481
426	359722.307
427	359544.5255
428	359410.8352
429	359315.1761
430	359053.0878
431	358783.9949
432	358546.7464
433	358322.3353
434	358213.9158
435	358015.0965
436	357830.1123
437	357648.3799
438	357381.2049
439	357196.4564
440	357049.7276
441	356870.4832
442	356669.8242
443	356522.5872
444	356261.2709
445	356084.8149
446	355840.6766
447	355638.4547
448	355445.9807
449	355330.4411
450	355097.0543
451	354927.6734
452	354676.0257
453	354417.4772
454	354219.8377
455	353920.4725
456	353786.5388
457	353607.9387
458	353424.7254
459	353204.2236
460	353007.2305
461	352809.9415
462	352736.7418
463	352508.1444
464	352256.4651
465	352028.4925
466	351888.1453
467	351643.0776
468	351272.1354
469	351168.2
470	351038.5382
471	350901.2728
472	350689.8295
473	350550.3838
474	350381.5996
475	350226.2702
476	350090.829
477	349925.1998
478	349795.772
479	349586.8495
480	349419.9378
481	349259.2975
482	349050.3268
483	348858.7978
484	348665.653
485	348467.9286
486	348334.7329
487	348134.2184
488	347841.436
489	347571.7266
490	347398.6827
491	347228.1865
492	347003.0489
493	346798.1762
494	346598.6914
495	346436.5214
496	346325.0793
497	346153.6585
498	346024.6568
499	345911.1342
500	345762.2971
501	345742.9956
502	345588.1678
503	345355.7341
504	345157.8641
505	345023.689
506	344890.4537
507	344722.382
508	344572.5318
509	344471.3876
510	344149.0538
511	344032.1931
512	343865.8365
513	343758.2456
514	343742.0914
515	343607.6756
516	343413.0708
517	343129.5388
518	342907.5867
519	342792.2227
520	342641.0014
521	342505.9728
522	342223.1635
523	342073.3215
524	341879.5108
525	341690.0304
526	341575.1709
527	341350.955
528	341103.2037
529	340939.428
530	340811.0399
531	340660.4783
532	340455.0121
533	340365.1894
534	340214.9438
535	339992.3089
536	339867.6256
537	339668.5928
538	339451.9183
539	339300.847
540	339105.173
541	338865.2029
542	338704.4388
543	338545.0064
544	338465.0753
545	338269.7518
546	338170.9406
547	338029.8969
548	337772.4721
549	337640.6387
550	337482.6748
551	337380.2851
552	337259.908
553	337118.4542
554	337008.659
555	336819.03
556	336634.7758
557	336550.6866
558	336377.1523
559	336231.4658
560	336077.2537
561	335842.9184
562	335608.7794
563	335508.0224
