iter	Passed	Remaining
0	165	1654977
1	174	872208
2	183	610897
3	190	475958
4	196	391908
5	201	336144
6	207	296347
7	213	266159
8	218	242877
9	224	224420
10	230	209066
11	236	196577
12	241	185894
13	247	176605
14	254	169358
15	260	162712
16	267	156913
17	273	151506
18	278	146422
19	284	141951
20	290	137868
21	296	134298
22	301	130887
23	307	127896
24	313	125098
25	319	122463
26	325	120046
27	330	117844
28	336	115763
29	342	113921
30	348	112131
31	354	110399
32	360	108818
33	365	107254
34	371	105795
35	377	104537
36	383	103237
37	389	101995
38	394	100809
39	400	99740
40	406	98725
41	412	97701
42	417	96755
43	424	96014
44	429	95118
45	435	94244
46	440	93387
47	446	92570
48	452	91817
49	457	91047
50	463	90389
51	469	89725
52	474	89074
53	479	88401
54	486	87890
55	491	87249
56	496	86683
57	503	86272
58	509	85912
59	516	85501
60	522	85139
61	528	84697
62	534	84368
63	540	83881
64	546	83484
65	551	83066
66	557	82651
67	563	82363
68	571	82224
69	580	82369
70	589	82478
71	596	82211
72	602	81937
73	609	81715
74	615	81440
75	621	81186
76	627	80928
77	634	80655
78	640	80385
79	646	80131
80	652	79926
81	658	79634
82	663	79319
83	670	79112
84	676	78891
85	682	78659
86	688	78394
87	693	78065
88	698	77827
89	704	77566
90	710	77320
91	715	77064
92	721	76833
93	727	76642
94	732	76409
95	738	76155
96	745	76086
97	751	75921
98	756	75695
99	763	75578
100	769	75433
101	774	75204
102	780	74987
103	786	74799
104	791	74636
105	797	74444
106	802	74226
107	808	74082
108	814	73894
109	820	73758
110	826	73654
111	832	73506
112	838	73324
113	843	73140
114	849	73055
115	856	72997
116	863	72908
117	869	72804
118	875	72699
119	881	72598
120	888	72507
121	893	72369
122	899	72202
123	904	72069
124	910	71924
125	916	71798
126	922	71677
127	927	71543
128	933	71413
129	939	71319
130	945	71225
131	951	71097
132	956	70973
133	962	70894
134	969	70824
135	975	70734
136	980	70600
137	986	70487
138	992	70416
139	998	70314
140	1004	70252
141	1011	70211
142	1017	70119
143	1023	70032
144	1029	69947
145	1035	69904
146	1042	69871
147	1048	69828
148	1055	69779
149	1061	69682
150	1067	69595
151	1072	69507
152	1078	69428
153	1084	69340
154	1090	69244
155	1095	69133
156	1101	69047
157	1107	68968
158	1112	68853
159	1118	68768
160	1123	68670
161	1129	68600
162	1135	68512
163	1141	68450
164	1146	68364
165	1152	68282
166	1158	68214
167	1163	68109
168	1169	68033
169	1175	67956
170	1180	67871
171	1185	67760
172	1191	67668
173	1196	67578
174	1202	67490
175	1208	67437
176	1214	67376
177	1219	67276
178	1224	67195
179	1229	67100
180	1235	67002
181	1240	66934
182	1246	66855
183	1251	66770
184	1257	66693
185	1262	66621
186	1268	66575
187	1274	66526
188	1280	66473
189	1286	66421
190	1292	66363
191	1298	66313
192	1304	66285
193	1309	66212
194	1316	66175
195	1322	66143
196	1329	66145
197	1334	66088
198	1341	66051
199	1346	65988
200	1352	65921
201	1357	65866
202	1363	65791
203	1368	65715
204	1374	65679
205	1380	65611
206	1385	65538
207	1390	65471
208	1396	65403
209	1402	65360
210	1407	65311
211	1413	65254
212	1418	65186
213	1424	65141
214	1429	65061
215	1435	65009
216	1441	64964
217	1446	64906
218	1451	64832
219	1457	64781
220	1462	64706
221	1467	64633
222	1472	64558
223	1477	64503
224	1483	64471
225	1489	64423
226	1495	64379
227	1501	64345
228	1507	64318
229	1513	64292
230	1518	64219
231	1524	64169
232	1529	64113
233	1535	64069
234	1540	64021
235	1546	63969
236	1551	63907
237	1556	63859
238	1563	63846
239	1569	63822
240	1575	63791
241	1581	63780
242	1588	63786
243	1595	63807
244	1601	63781
245	1607	63753
246	1613	63715
247	1619	63689
248	1626	63688
249	1631	63646
250	1637	63601
251	1642	63542
252	1648	63500
253	1654	63476
254	1659	63416
255	1664	63364
256	1670	63317
257	1675	63270
258	1681	63256
259	1687	63215
260	1693	63178
261	1699	63159
262	1704	63104
263	1709	63051
264	1714	62998
265	1720	62943
266	1725	62898
267	1731	62874
268	1737	62844
269	1742	62793
270	1748	62779
271	1753	62729
272	1759	62685
273	1764	62631
274	1770	62597
275	1775	62556
276	1781	62531
277	1787	62496
278	1792	62452
279	1797	62409
280	1803	62368
281	1809	62346
282	1815	62320
283	1820	62271
284	1825	62238
285	1831	62192
286	1836	62156
287	1842	62117
288	1848	62096
289	1853	62058
290	1859	62028
291	1865	62017
292	1871	61986
293	1876	61937
294	1881	61884
295	1886	61845
296	1891	61806
297	1897	61763
298	1902	61732
299	1908	61696
300	1913	61658
301	1919	61637
302	1925	61611
303	1931	61589
304	1936	61565
305	1942	61543
306	1948	61517
307	1954	61493
308	1960	61492
309	1967	61487
310	1972	61448
311	1978	61442
312	1984	61410
313	1990	61394
314	1996	61369
315	2001	61334
316	2007	61309
317	2013	61288
318	2018	61252
319	2024	61238
320	2030	61210
321	2035	61181
322	2041	61152
323	2046	61130
324	2068	61575
325	2074	61551
326	2080	61529
327	2086	61529
328	2092	61511
329	2098	61493
330	2104	61488
331	2110	61471
332	2117	61457
333	2123	61444
334	2130	61457
335	2136	61443
336	2141	61404
337	2147	61375
338	2152	61334
339	2157	61307
340	2163	61274
341	2168	61247
342	2174	61222
343	2179	61190
344	2185	61164
345	2191	61149
