feature,importance,coefficient
land_value,704622.0577775683,704622.0577775683
sector_median,447493.44282398483,447493.44282398483
mainbuilding_bedrooms_area,165242.57400660252,165242.57400660252
region,119132.02657986413,-119132.02657986413
view_quality,110403.42901174529,-110403.42901174529
prop_bath,108521.39191593543,108521.39191593543
internal_area,107106.77020230956,107106.77020230956
famous_designer,98718.51714906296,98718.51714906296
big_sector_code,96461.14547969791,-96461.14547969791
bedroom_cnt,90899.96036425693,-90899.96036425693
unreliable_features,78926.36973874002,78926.36973874002
living_space_area,67995.69562368774,67995.69562368774
outdoor_swimming_pool_cnt,66705.41715910884,66705.41715910884
function_room_area,62408.49396603565,62408.49396603565
luxury_level,58853.75762080419,-58853.75762080419
garage_area,57064.00860140455,57064.00860140455
main_building_bedroom_avg_area,55778.062974526176,55778.062974526176
biggest_bedroom_area,52118.53535942596,-52118.53535942596
tennis_court_cnt,50704.26694336982,50704.26694336982
small_bedroom_cnt,50556.96825812623,50556.96825812623
sold_contract_date,49354.519346203335,49354.519346203335
robe_cnt,48990.31896441697,-48990.31896441697
gym_name,44627.050790990535,-44627.050790990535
indoor_swimming_pool_cnt,44311.035860873235,44311.035860873235
each_bedroom_area,44269.3878353887,44269.3878353887
sector_code,43421.66596703023,43421.66596703023
storage_area,42806.536259200235,-42806.536259200235
other_area,40003.09751461224,40003.09751461224
luxury_level_desc_score,39458.913473229215,39458.913473229215
prop_carpark,37385.60336544919,37385.60336544919
has_wharf,34626.5849697232,-34626.5849697232
study_home_office_cnt,33784.1824624777,-33784.1824624777
double_brick_wall,33506.219275541516,-33506.219275541516
land_size_type,32992.440090501754,32992.440090501754
internal_workshop_area,30592.79326892682,-30592.79326892682
robe_plus_area,30527.072055684668,30527.072055684668
quietness,29477.778704105993,-29477.778704105993
near_park,29088.270422823232,-29088.270422823232
lift_cnt,28695.41623429965,28695.41623429965
prop_x,28331.84767301142,28331.84767301142
construction_year_guess,27807.569444428813,27807.569444428813
wir_cnt,27483.883264969347,-27483.883264969347
updated_date,26533.590095217955,-26533.590095217955
gym_cnt,25681.221163336202,25681.221163336202
locality_post,25106.392413110578,25106.392413110578
bath_plus_area,25052.10436244934,-25052.10436244934
no_public_space_floor_cnt,24941.418586713135,24941.418586713135
natural_light,23528.51796726737,-23528.51796726737
renovation_expansion,23272.18137560588,23272.18137560588
bath_cnt,22213.99524038596,-22213.99524038596
development_opportunity,21309.976117506518,21309.976117506518
ensuite_cnt,20771.986261312133,20771.986261312133
connected_garage_cnt,19586.816924971477,-19586.816924971477
gym_area,18644.674906150303,-18644.674906150303
building_age,18314.519108770422,-18314.519108770422
basement_area,17268.889067675787,17268.889067675787
luxury_level_score,16401.108912767566,16401.108912767566
cul_de_sac,15404.492639975906,-15404.492639975906
levels_cnt,15025.934686171186,15025.934686171186
land_size,14993.340944651347,14993.340944651347
key_advantages,14830.311863609784,-14830.311863609784
sloped_roof_bedroom_cnt,14631.949523501185,14631.949523501185
attic_level_bedroom_cnt,14631.948895850881,14631.948895850881
kitchen_cnt,14588.690213687896,-14588.690213687896
entertaining_space_cnt,13514.371000267645,13514.371000267645
biggest_entertainment_area,13332.14170505928,13332.14170505928
prop_type,12645.813185459123,-12645.813185459123
famous_builder,10881.268242470236,10881.268242470236
outdoor_dining_area,10394.721357964088,10394.721357964088
locality_id,10356.54898968171,10356.54898968171
street_id,10355.465502125831,10355.465502125831
pantry_cnt,9439.563306891041,-9439.563306891041
living_space_cnt,9376.191794742328,9376.191794742328
prop_bed,9356.836166444837,9356.836166444837
stca_development_potential,9186.57668260836,9186.57668260836
lower_ground_bedroom_cnt,8767.9106040322,-8767.9106040322
covered_dining_area,8305.317620029471,-8305.317620029471
da_cdc_approval,8003.618163866882,8003.618163866882
building_year_mix,7314.024642200055,-7314.024642200055
separate_garage_cnt,7024.408777185031,7024.408777185031
weather_board,6751.554506687423,6751.554506687423
cabana_cnt,6618.299389118254,6618.299389118254
location_summary,6605.8063919861825,6605.8063919861825
balcony_area,6578.670662779621,6578.670662779621
balcony_verandah_area,6434.441807829111,6434.441807829111
outdoor_spa_cnt,6281.38767920186,-6281.38767920186
view_type,5800.9618624085,5800.9618624085
biggest_living_space_area,5526.389198764781,-5526.389198764781
luxury_level_images,5393.289014231943,-5393.289014231943
famous_owner,5351.801756136022,-5351.801756136022
verandah_area,5272.969534593659,5272.969534593659
prop_zoning,5166.874329065438,5166.874329065438
biggest_entertainment_name,4846.09281801991,4846.09281801991
prop_y,4655.01425058797,4655.01425058797
studio_cnt,4309.230035137969,4309.230035137969
indoor_spa_cnt,3647.933223150859,3647.933223150859
locality_name,3548.3709067293453,-3548.3709067293453
bedroom_without_bathroom_names,3286.9552710939947,-3286.9552710939947
bedroom_without_bathroom_cnt,3263.9136836187627,3263.9136836187627
narrow_bedroom_cnt,3180.0946108450885,-3180.0946108450885
corner_property,2498.7292503178355,-2498.7292503178355
full_address_y,2496.2884813006012,-2496.2884813006012
house_name,2125.647348466207,-2125.647348466207
ground_level_bedroom_cnt,1991.5454282437759,1991.5454282437759
high_ceiling,1632.38462117391,-1632.38462117391
kitchen_area,1319.6558040700263,1319.6558040700263
luxury_level_images_score,1028.9237895863748,-1028.9237895863748
granny_flat_bedroom_cnt,475.3867279742931,475.3867279742931
current_tenure_aux,207.60775848928984,207.60775848928984
workshop_cnt,77.1796282446611,77.1796282446611
no_public_space_floor_names,55.523672423012826,-55.523672423012826
sloped_roof_bedroom_images_cnt,0.0,0.0
luxury_from_multimode,0.0,0.0
