feature,importance
internal_area,803207.5062854601
land_value,742073.7119264256
sector_median,480654.8147104961
building_age,383152.179355287
living_space_area,364772.41709406755
bedroom_cnt,358021.34248651366
building_year_mix,357157.77334766375
mainbuilding_bedrooms_area,306340.2089752852
locality_name,296231.9242298483
locality_id,291448.5265067159
storage_area,168297.33792791422
luxury_level_desc_score,160296.7038184689
luxury_level_score,133994.86098541852
region,125359.41538755813
biggest_bedroom_area,115798.17674369754
prop_bath,112818.05093726337
view_quality,112290.34065028334
bedroom_without_bathroom_cnt,100666.09912073829
famous_designer,97286.93421149609
big_sector_code,94401.41897887089
bedroom_without_bathroom_names,92319.64101087204
small_bedroom_cnt,90240.6016451354
unreliable_features,88488.96081569594
internal_workshop_area,78686.3607641059
main_building_bedroom_avg_area,74060.13681895037
bath_plus_area,65511.80618553958
outdoor_swimming_pool_cnt,64946.55395011491
luxury_level,63903.39700038665
garage_area,61557.35083325518
luxury_level_images_score,53587.542516345246
sold_contract_date,53196.684085179266
tennis_court_cnt,50473.73669474626
other_area,50405.83143699336
gym_name,47729.50216998863
robe_cnt,46315.86990291895
indoor_swimming_pool_cnt,44730.891593960914
no_public_space_floor_cnt,41962.673902287075
land_size_type,41402.40485071113
bath_cnt,39204.42805535577
prop_carpark,38836.5142048887
study_home_office_cnt,37484.35787509366
double_brick_wall,36600.66118916986
sector_code,34187.0649985805
has_wharf,34030.05432566392
construction_year_guess,33561.68226982555
updated_date,32343.118095321788
near_park,31180.55801069798
robe_plus_area,30704.81670608428
wir_cnt,29738.108790490514
quietness,27879.586099929402
lift_cnt,27598.237251228067
locality_post,27004.144080301252
outdoor_dining_area,26456.428997101193
renovation_expansion,25816.959361078236
gym_area,25353.025082408112
each_bedroom_area,25187.618664844795
attic_level_bedroom_cnt,24187.1258366138
natural_light,23601.802364006264
ground_level_bedroom_cnt,23578.675174743486
gym_cnt,23427.072667900222
covered_dining_area,23403.530378151365
verandah_area,22980.88279883563
function_room_area,22656.192097963118
development_opportunity,22209.8514244094
connected_garage_cnt,19798.329176071024
house_name,16438.502697443095
basement_area,16224.909449141285
no_public_space_floor_names,15652.261843419246
cul_de_sac,14822.351197882657
key_advantages,14697.139214433579
biggest_living_space_area,13759.078736542366
prop_type,13416.920911421827
entertaining_space_cnt,12846.57414475882
biggest_entertainment_area,11926.116394001814
balcony_verandah_area,11724.24192289055
levels_cnt,11605.055564932032
famous_builder,11266.422239564212
prop_x,10557.341616170846
weather_board,10368.203744227636
pantry_cnt,10160.466076250385
prop_bed,9502.677570824331
lower_ground_bedroom_cnt,8544.957307554985
view_type,8420.957392380995
stca_development_potential,8417.274528804008
kitchen_cnt,7843.971705851463
balcony_area,7685.999947159005
living_space_cnt,7478.436096655454
da_cdc_approval,6989.985395232356
high_ceiling,6310.289469490906
biggest_entertainment_name,6308.613635321782
outdoor_spa_cnt,6116.692171320173
kitchen_area,5769.243296805097
cabana_cnt,5752.93661092143
location_summary,5239.128584563188
sloped_roof_bedroom_cnt,4633.699596065283
ensuite_cnt,4274.4755323699865
studio_cnt,4115.663070949999
luxury_level_images,3894.1060858924566
famous_owner,3889.1263853133564
prop_y,3829.776617092466
land_size,3238.8561814719637
corner_property,3078.814973231976
indoor_spa_cnt,2420.150517982556
current_tenure_aux,2341.542323074767
separate_garage_cnt,2004.062650967218
prop_zoning,1857.235224298317
full_address_y,1706.5363197917684
granny_flat_bedroom_cnt,1112.6964632834731
narrow_bedroom_cnt,571.6787116106069
workshop_cnt,533.4270040661718
street_id,0.0
sloped_roof_bedroom_images_cnt,0.0
luxury_from_multimode,0.0
