mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1.2282357215881348,0.03478968411296005,0.04188672701517741,0.0009748662201962858,0.8,0.05,4,100,0,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 0, 'subsample': 0.8}",-619811.2023481418,-535165.7081685744,-552209.0206986853,-569061.9770718004,36553.44511908911,32,-433876.6883514179,-451106.08158137836,-450207.1281839542,-445063.29937225016,7918.637462814737
1.2582530975341797,0.025824931529120094,0.04354071617126465,0.005575140374916087,0.8,0.05,4,100,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",-622551.8111811201,-527537.0543094926,-549861.62283857,-566650.1627763942,40565.52157334733,29,-441882.4690140666,-462462.0108829672,-461167.75924827263,-455170.7463817688,9411.075332614486
1.3461776574452717,0.04921771236994152,0.04834175109863281,0.0065087672755983475,0.8,0.05,4,100,1,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'reg_alpha': 1, 'reg_lambda': 0, 'subsample': 0.8}",-619811.2066793095,-535165.7044639653,-552209.0198435867,-569061.9769956205,36553.44840000896,31,-433876.6911761636,-451106.0856706686,-450207.13360512286,-445063.30348398496,7918.638346675652
1.397296667098999,0.014048841979079083,0.04030307133992513,0.003428554778592617,0.8,0.05,4,100,1,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'reg_alpha': 1, 'reg_lambda': 1, 'subsample': 0.8}",-622551.8160703671,-527537.0549785958,-549861.6223419644,-566650.1644636424,40565.523672696196,30,-441882.46882417024,-462462.01383920695,-461167.7630177277,-455170.7485603683,9411.076986112832
2.1770900885264077,0.019362420051926635,0.07678357760111491,0.009924608646490803,0.8,0.05,4,200,0,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 0, 'subsample': 0.8}",-607610.0209948301,-524349.4014434332,-533991.6968905786,-555317.0397762806,37185.66371524723,26,-381553.51433232636,-392974.26656328834,-390009.62386925775,-388179.13492162415,4838.829935760114
2.2346617380777993,0.05686348392381533,0.07066488265991211,0.011613763780826673,0.8,0.05,4,200,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",-607221.3083610656,-517860.23704004334,-535779.9687363687,-553620.5047124926,38601.069154854005,21,-388398.0295841862,-400989.070888064,-401674.8098661247,-397020.6367794583,6103.527702319725
2.268062114715576,0.053203208237527624,0.07655247052510579,0.009233087968971656,0.8,0.05,4,200,1,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'reg_alpha': 1, 'reg_lambda': 0, 'subsample': 0.8}",-607610.0220671286,-524349.394917549,-533991.6915177039,-555317.0361674605,37185.66705652867,25,-381553.51796685165,-392974.2724393068,-390009.6287119647,-388179.139706041,4838.830828525384
2.4072909355163574,0.07779602244481612,0.09797318776448567,0.013723389117573082,0.8,0.05,4,200,1,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'reg_alpha': 1, 'reg_lambda': 1, 'subsample': 0.8}",-607221.3116545449,-517860.23716320115,-535779.9681861892,-553620.5056679784,38601.07072600635,22,-388398.0324758248,-400989.07311458926,-401674.8150667935,-397020.64021906914,6103.528145078427
2.4986699422200522,0.0022522529583068078,0.07200026512145996,0.01296013728566666,0.8,0.05,6,100,0,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 0, 'subsample': 0.8}",-605664.0507087872,-512386.4487372075,-535416.160134815,-551155.5531936032,39673.45147397172,18,-327030.26517112204,-336168.181862632,-334803.67099745705,-332667.3726770704,4024.773968850863
2.5220890839894614,0.03228504966508653,0.08774113655090332,0.0038472956684255538,0.8,0.05,6,100,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",-614908.2259502093,-514049.055568382,-536703.7124615464,-555220.3313267125,43207.19032117985,23,-332474.9006327464,-346981.51621922327,-344694.11088605225,-341383.5092460073,6368.177989438559
2.5932456652323403,0.04892406298199562,0.0783530871073405,0.01051336316770496,0.8,0.05,6,100,1,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'reg_alpha': 1, 'reg_lambda': 0, 'subsample': 0.8}",-605664.053577786,-512386.44593998045,-535416.1546799621,-551155.5513992427,39673.454420416325,17,-327030.27404447546,-336168.18827837886,-334803.6773905269,-332667.3799044604,4024.772817462219
2.58524227142334,0.0476903399650657,0.06299908955891927,0.003742618126712567,0.8,0.05,6,100,1,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'reg_alpha': 1, 'reg_lambda': 1, 'subsample': 0.8}",-614908.2343808359,-514049.05451636435,-536703.7106956326,-555220.3331976109,43207.19478971092,24,-332474.9020669877,-346981.52372974105,-344694.11514634325,-341383.5136476907,6368.180259630777
3.912532647450765,0.08049266537603278,0.09088404973347981,0.010084686045728881,0.8,0.05,6,200,0,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 0, 'subsample': 0.8}",-596539.310871932,-503511.6060462664,-522883.8388626804,-540978.2519269596,40075.71421187947,5,-276779.55649366055,-282513.12935040036,-279884.51511762216,-279725.7336538944,2343.412481945011
