feature,importance
land_value,741931.5044792609
building_age,678960.6558616913
building_year_mix,651704.7008253483
mainbuilding_bedrooms_area,497207.9434858957
sector_median,480080.3100347416
bedroom_cnt,357573.00310182583
locality_name,340709.4165670095
internal_area,216344.83757833578
other_area,198449.7098961532
storage_area,168401.55700737276
locality_id,167257.2068016672
street_id,164046.34706344528
luxury_level_desc_score,153065.26785691528
region,125418.70428048803
luxury_level_score,125088.13965959773
biggest_bedroom_area,115594.09642013609
prop_bath,112930.73180022006
view_quality,112206.23269786703
bedroom_without_bathroom_cnt,109260.74192022369
bedroom_without_bathroom_names,100988.64663616427
famous_designer,97275.63722579491
big_sector_code,94527.31201098129
small_bedroom_cnt,90072.86828277286
unreliable_features,88361.88871980163
internal_workshop_area,78693.41462385014
main_building_bedroom_avg_area,74129.12243119301
bath_plus_area,65328.39495501369
outdoor_swimming_pool_cnt,64977.757529254515
luxury_level,63875.352751567574
garage_area,61619.448763638306
sold_contract_date,53139.283934027895
luxury_level_images_score,50404.8011892044
tennis_court_cnt,50380.74393533412
gym_name,47851.53545968054
robe_cnt,46339.128515019016
indoor_swimming_pool_cnt,44746.24056325786
no_public_space_floor_cnt,42255.93220782864
land_size_type,41369.67883378986
bath_cnt,39321.01393477794
prop_carpark,39059.314867966816
study_home_office_cnt,37373.06423434585
double_brick_wall,36643.07581573698
construction_year_guess,36237.66978739854
has_wharf,33994.965724583424
sector_code,33886.32391600184
updated_date,32212.29391762122
near_park,31217.093569926186
robe_plus_area,30691.22076961633
wir_cnt,29686.637120577772
quietness,27936.75484881171
lift_cnt,27628.202917136306
locality_post,27112.069729924337
outdoor_dining_area,26332.12858521202
renovation_expansion,25663.839274350685
gym_area,25296.60749517007
each_bedroom_area,25096.143499704616
ground_level_bedroom_cnt,23628.60616048943
gym_cnt,23432.843583745565
natural_light,23408.512385541606
covered_dining_area,23263.985402172715
function_room_area,22906.796477501022
development_opportunity,21998.601188301676
house_name,21099.89918395112
connected_garage_cnt,19641.286364615866
basement_area,16232.27433247426
no_public_space_floor_names,15951.83905723679
cul_de_sac,14788.646130706586
key_advantages,14736.100439839283
attic_level_bedroom_cnt,14376.885581850316
sloped_roof_bedroom_cnt,14376.885581343866
biggest_living_space_area,13658.219772433955
prop_type,13378.909175343908
entertaining_space_cnt,12951.912822042206
biggest_entertainment_area,11815.618941506074
levels_cnt,11492.681377980181
famous_builder,11255.719418047292
prop_x,10404.409868434537
weather_board,10330.483697295027
pantry_cnt,10218.4764843521
prop_bed,9466.865828100914
lower_ground_bedroom_cnt,8497.81142000791
view_type,8382.850625325584
stca_development_potential,8360.051472988831
kitchen_cnt,7721.824691010035
living_space_cnt,7339.520527246337
living_space_area,7319.359354943624
da_cdc_approval,7021.236280277365
high_ceiling,6931.62505623811
biggest_entertainment_name,6353.379989386945
verandah_area,6101.788854630691
outdoor_spa_cnt,6023.558357052241
kitchen_area,5800.669051097264
cabana_cnt,5787.202443435045
balcony_verandah_area,5591.644667874182
location_summary,5293.455402039985
balcony_area,4287.674628562607
ensuite_cnt,4214.6715087274515
studio_cnt,4137.650667855194
luxury_level_images,3946.092483892142
prop_y,3904.2855169801333
famous_owner,3843.4334927027408
corner_property,3192.908387104663
land_size,3183.5161657718104
current_tenure_aux,2570.1369979739657
indoor_spa_cnt,2435.8592377036002
separate_garage_cnt,2085.1629865488544
prop_zoning,1848.9565249494415
full_address_y,1751.3385386330115
granny_flat_bedroom_cnt,1113.906054510925
narrow_bedroom_cnt,669.0466031074565
workshop_cnt,531.6472200334657
sloped_roof_bedroom_images_cnt,0.0
luxury_from_multimode,0.0
