feature,importance
land_value,32171003740160.0
sector_median,11175456669696.0
view_quality,9690653130752.0
prop_bath,8272453042176.0
indoor_swimming_pool_cnt,4712201977856.0
tennis_court_cnt,4422480429056.0
famous_designer,4278488137728.0
locality_post,3990094610432.0
has_wharf,3836890054656.0
land_size_type,3599562440704.0
internal_area,3434561667072.0
gym_area,3254440427520.0
lift_cnt,3038292475904.0
luxury_level_desc_score,2994879070208.0
luxury_level_score,2962115526656.0
region,2944341377024.0
gym_name,2133714403328.0
prop_x,1869588463616.0
levels_cnt,1826986000384.0
entertaining_space_cnt,1685446328320.0
outdoor_swimming_pool_cnt,1480913584128.0
famous_owner,1350685818880.0
gym_cnt,1295589834752.0
indoor_spa_cnt,1087719407616.0
famous_builder,1084392996864.0
land_size,1004239192064.0
construction_year_guess,995554295808.0
luxury_level,976490921984.0
prop_bed,966215270400.0
ensuite_cnt,958465835008.0
sector_code,926155735040.0
unreliable_features,873852174336.0
lower_ground_bedroom_cnt,815294513152.0
basement_area,796285665280.0
mainbuilding_bedrooms_area,793787629568.0
building_age,735345180672.0
biggest_entertainment_area,719091990528.0
da_cdc_approval,696386387968.0
ground_level_bedroom_cnt,677169856512.0
balcony_area,664211292160.0
bedroom_without_bathroom_names,658093637632.0
building_year_mix,573741989888.0
no_public_space_floor_names,567997038592.0
luxury_level_images,550410452992.0
prop_carpark,488042364928.0
garage_area,485402771456.0
biggest_entertainment_name,481185890304.0
bedroom_cnt,478156128256.0
prop_y,477882155008.0
wir_cnt,459758370816.0
sold_contract_date,456933834752.0
function_room_area,456112242688.0
outdoor_spa_cnt,431331344384.0
living_space_area,428158517248.0
view_type,419105275904.0
development_opportunity,414861557760.0
big_sector_code,412257288192.0
granny_flat_bedroom_cnt,401664016384.0
cabana_cnt,401585405952.0
no_public_space_floor_cnt,401416093696.0
main_building_bedroom_avg_area,397880229888.0
bath_cnt,350680842240.0
outdoor_dining_area,347750236160.0
kitchen_cnt,330892345344.0
bedroom_without_bathroom_cnt,323692494848.0
living_space_cnt,308849344512.0
separate_garage_cnt,298865721344.0
luxury_level_images_score,298861363200.0
study_home_office_cnt,293433016320.0
covered_dining_area,287223152640.0
verandah_area,282194182144.0
prop_zoning,274729877504.0
internal_workshop_area,271917056000.0
weather_board,254895177728.0
cul_de_sac,250541244416.0
each_bedroom_area,246127362048.0
updated_date,239700213760.0
connected_garage_cnt,237629800448.0
locality_id,225268891648.0
key_advantages,222587912192.0
renovation_expansion,219968307200.0
biggest_bedroom_area,218706640896.0
pantry_cnt,211276873728.0
robe_plus_area,209396252672.0
near_park,192014024704.0
location_summary,191358271488.0
robe_cnt,189499752448.0
bath_plus_area,188799696896.0
storage_area,186397130752.0
biggest_living_space_area,182432890880.0
balcony_verandah_area,176752263168.0
locality_name,170045816832.0
current_tenure_aux,165658165248.0
high_ceiling,163734044672.0
other_area,163632742400.0
studio_cnt,160188252160.0
full_address_y,159351619584.0
street_id,153450774528.0
narrow_bedroom_cnt,150221946880.0
attic_level_bedroom_cnt,144642211840.0
natural_light,144281354240.0
double_brick_wall,139979145216.0
stca_development_potential,136632582144.0
kitchen_area,135240376320.0
corner_property,130312527872.0
small_bedroom_cnt,119442808832.0
quietness,115216990208.0
workshop_cnt,95527362560.0
house_name,93344571392.0
sloped_roof_bedroom_cnt,66314084352.0
prop_type,18707306496.0
